geography code,Percent no qualifications 16 and over,Percent bad and very band health,Population density per km,Percent lone family household
E01000001,2.36511456,1.966101695,5432.9,5.492227979
E01000002,1.771956857,2.312138728,1430.7,3.839732888
E01000003,8.77076412,3.161810291,2913.9,2.868852459
E01000005,20.49947971,7.181818182,6049.4,4.606525912
E01000006,20.58618283,3.410936654,4311.9,1.889338731
E01000007,16.80555556,3.370013755,5522,2.64446621
E01000008,20.8101668,4.3454039,3458.3,5.680119581
E01000009,25.0177683,4.986149584,2205.3,4.963680387
E01000011,25.37878788,4.347826087,4870.7,3.580901857
E01000012,19.64512041,3.537936914,1414.8,4.352941176
E01000013,25.39341917,5.932656334,2944.9,5.751173709
E01000014,25.81377744,4.625928041,1304.4,5.72755418
E01000015,22.59365994,4.011579818,4494.8,5.670103093
E01000016,22.25392297,4.754186926,4827.5,4.42804428
E01000017,25.15337423,6.554524362,3367,4.203539823
E01000018,24.79704797,5.802816901,3470.3,6.147540984
E01000019,23.69991475,4.82509047,6994.5,5.081300813
E01000020,26.57125078,8.215426746,5757.4,5.172413793
E01000021,23.90599676,5.483490566,6653.3,4.233870968
E01000022,22.8440367,5.156037992,10006.7,5.123339658
E01000024,23.70304114,5.117845118,2309.8,5.361305361
E01000025,28.16608997,5.625,2434.5,3.75
E01000027,25.62373567,6.724303554,7796.2,5.054151625
E01000028,24.38843588,6.27753304,4939.1,5.046728972
E01000029,23.66040362,5.161998902,8425.6,4.118616145
E01000030,22.40373396,5.774483028,1815.6,5.882352941
E01000031,20.35842294,4.627539503,3509.3,5.277044855
E01000032,23.07692308,5.197305101,2065.8,5.01285347
E01000033,27.8322926,7.12896954,3674.6,6.276747504
E01000034,27.94001579,6.666666667,2396.5,2.226027397
E01000035,27.70919067,6.827956989,3703.2,4.173913043
E01000036,23.74784111,4.693877551,3818.5,3.249097473
E01000037,20.7977208,3.299941072,704.4,4.517704518
E01000038,23.15462315,5.012376238,1864.1,5.592543276
E01000039,22.44297277,4.166666667,4879.2,4.679376083
E01000040,30.51209104,5.215540181,4018.6,4.881889764
E01000041,25.38181818,4.125950054,1292.2,4.273504274
E01000042,22.77526395,5.68544102,215,2.040816327
E01000043,23.91125719,5.204944697,4391.7,3.727714749
E01000044,22.14095745,5.382293763,5344.6,4.411764706
E01000045,22.79469165,5.113306217,5035.2,5.518169583
E01000046,24.1046832,6.492842536,4110.1,4.607721046
E01000049,21.06038292,4.967055246,7042.8,7.692307692
E01000050,21.14118508,4.4045677,69.3,2.733686067
E01000051,11.64556962,0.996376812,4504,2.120717781
E01000052,25.46948357,4.434121622,4777.4,3.012048193
E01000053,25.3101737,6.184291899,165.3,3.368421053
E01000054,24.1025641,4.868913858,863.3,1.622418879
E01000055,23.31002331,4.692082111,1225.5,2.119205298
E01000056,26.10410095,5.816686251,4297.9,3.194444444
E01000057,24.65156794,5.096774194,4386.5,3.211009174
E01000058,22.69013199,5.761124122,7005.4,3.93442623
E01000059,25.67463377,4.792518995,1734.5,3.337041157
E01000060,22.63056093,5.733944954,9909.5,4.448398577
E01000061,21.71387073,6.12987013,1881.1,3.230769231
E01000062,22.38095238,4.643823264,4750.9,4.292527822
E01000063,22.14714715,5.390230208,6987,4.69583778
E01000064,25.10074842,6.533101045,4919.6,3.008595989
E01000065,26.10677083,7.669021191,7813.4,3.650793651
E01000066,21.74817898,4.56182473,17684.2,3.318903319
E01000067,19.59499702,3.889137237,403.5,2.074074074
E01000068,22.65043949,4.066852368,1268.9,7.076923077
E01000069,18.13220133,2.814885496,6219,5.179856115
E01000070,19.31464174,4.29744085,10185.3,5.424528302
E01000071,17.96287005,3.607060629,10485.8,3.363518758
E01000072,24.32778489,5.591798695,3933.7,3.861003861
E01000073,23.4948605,5.191995673,3255.6,6.956521739
E01000074,25.54517134,6.257110353,1883.1,4.790419162
E01000075,24.23849644,5.144230769,15424.6,5.144694534
E01000076,30.7314075,6.709856548,8536.3,4.615384615
E01000077,25.88871716,5.875509017,16919.5,5.990016639
E01000078,27.01107011,7.003686151,10218.9,3.247863248
E01000079,24.72698908,6.060606061,15556.8,4.903677758
E01000080,24.90650711,6.415306697,2074.3,5.728314239
E01000081,22.05980066,5.111336032,4518.4,6.858054226
E01000082,24.39362439,4.547830633,2833.2,9.951845907
E01000083,28.03468208,5.992704534,6088.9,9.1796875
E01000084,27.80847145,5.08356546,3274.9,6.451612903
E01000085,26.21359223,4.924012158,5817.4,6.554878049
E01000086,25.02291476,5.455801105,11419.9,5.405405405
E01000087,22.89452167,4.88997555,6498.4,5.78358209
E01000088,22.07520891,4.810126582,2504.2,4.581673307
E01000089,23.75,2.904109589,7593.1,6.174698795
E01000090,23.17772318,3.339191564,5733.1,5.25030525
E01000091,22.71186441,6.561302682,5531.7,4.875283447
E01000093,26.12951807,6.467661692,4784.3,6.201550388
E01000094,13.13309776,3.291344982,6101.9,6.849315068
E01000095,21.25827815,3.601600711,3709.7,3.233532934
E01000096,21.69981917,4.698795181,4213.2,5.22696011
E01000097,26.96551724,6.82876358,4139.7,4.393939394
E01000098,24.76802284,5.785123967,4786,6.404657933
E01000099,20.63334983,3.634400864,3970.2,6.601123596
E01000100,25.15991471,6.179196704,2499.4,8.284714119
E01000101,26.57935285,5.584950029,4280.5,4.381846635
E01000102,24.24710425,6.169377454,1615,5.700325733
E01000103,21.2006079,4.565952649,5421.3,5.901116427
E01000104,21.38228942,4.699738903,6120,4.709576138
E01000105,26.08944954,5.917667238,7478.6,5.023547881
E01000106,23.06717364,5.074762121,5437.9,3.931847969
E01000107,26.02339181,5.042016807,8220.8,4.632426989
E01000108,24.09217877,4.07310705,3805.4,4.138851802
E01000110,20.16326531,3.496503497,5426.4,9.190031153
E01000111,24.41140025,4.129930394,5141,7.824726135
E01000112,20.19933555,3.247082699,5467.5,7.034482759
E01000113,19.07894737,3.859649123,5372.7,7.389937107
E01000114,21.06807512,2.976436544,2121.5,3.265940902
E01000115,13.65187713,3.366762178,6299.5,7.52688172
E01000116,15.79720794,3.667621777,3572.3,5.695142379
E01000117,16.05995717,4.953917051,1843.8,9.69581749
E01000118,14.96350365,2.19941349,1647.9,3.852080123
E01000119,15.07503411,3.790412486,4655.1,6.156716418
E01000120,15.08972268,3.612040134,4231.9,3.170731707
E01000121,18.03143093,7.78605281,3637.5,4.553734062
E01000122,12.46882793,3.110522833,1193,4.347826087
E01000123,13.59495445,2.724177072,4471.3,5.841924399
E01000124,15.98360656,3.800856531,3060.1,3.994673768
E01000126,19.34770591,5.103387593,4223.1,4.269293924
E01000127,25,5.973025048,7215.7,6.589785832
E01000128,23.83322962,3.904343582,6693.4,7.815631263
E01000129,26.14896989,5.236907731,2083.2,5.123339658
E01000130,24.77124183,5.475206612,1292.6,2.504317789
E01000131,21.48657089,3.958436418,2945,2.680965147
E01000132,23.2615894,4.455445545,4272.9,4.22125182
E01000133,25.23510972,6.379100851,5472,5.363984674
E01000134,22.33967583,3.563596491,2757.6,3.102625298
E01000135,14.83081353,3.529411765,1549.6,3.424657534
E01000136,10.49488055,2.757229321,3226.9,2.845528455
E01000137,18.42948718,5.914302957,3858.3,4.178272981
E01000138,19.83471074,5.067985167,3516.2,3.93442623
E01000139,13.5770235,3.677000721,3299.2,4.900459418
E01000140,12.37684729,3.476482618,5088.3,6.055646481
E01000141,19.98722861,4.935622318,4276.8,5.988023952
E01000142,16.65744328,5.004468275,632.6,3.021582734
E01000143,18.1402439,5.804907241,648.8,1.916376307
E01000144,15.3674833,5.23465704,2310.9,1.737756714
E01000145,14.67116358,4.463732176,2173.5,4.266666667
E01000146,12.20893644,4.273504274,3279.3,2.423263328
E01000147,24.48725917,3.084161004,3351.8,4.967948718
E01000150,18.10055866,3.858093126,936.4,5.23465704
E01000151,25.97510373,5.287623475,2644.9,4.612850082
E01000152,14.99242807,2.9346211,3632.4,3.790849673
E01000153,18.93888516,5.860995851,4868.5,3.863987635
E01000154,19.29365598,5.430809399,2516.4,2.276707531
E01000156,11.69170477,2.666666667,3513.7,2.891156463
E01000157,11.98686371,3.476611884,449.8,2.229299363
E01000158,14.08934708,4.436860068,1283.1,2.232854864
E01000159,16.84856753,3.859060403,1861.4,3.103448276
E01000160,13.27827192,2.507676561,3233.5,5.562130178
E01000161,17.51690227,4.47394297,4048.6,3.343023256
E01000162,19.91182954,6.848484848,7781.1,4.703476483
E01000163,18.60465116,6.32014176,5116.8,6.67752443
E01000164,18.76396128,5.198598131,3562,4.399323181
E01000165,15.86113002,3.423522916,3708.9,4.929577465
E01000166,17.20430108,5.181986428,8027.4,4.953560372
E01000167,22.11101001,5.535585909,4482.4,5.555555556
E01000168,14.53125,4.350692156,4865,3.220338983
E01000169,13.96946565,4.662576687,75.4,5.819295559
E01000170,18.1097158,4.142632407,76.2,4.109589041
E01000171,16.04154645,3.84279476,2737.8,7.301587302
E01000172,12.44343891,3.136094675,3801.2,3.417533432
E01000173,11.89562548,3.49112426,3389.5,3.459637562
E01000174,17.43849493,4.661739625,2024.3,4.991680532
E01000175,11.45695364,2.363367799,4204.9,1.872246696
E01000176,21.66553825,7.213496219,4984.7,2.644628099
E01000177,8.90625,2.345159351,7222.8,4.854368932
E01000178,9.931245225,3.705917513,3136.9,4.946524064
E01000179,7.560627675,1.844605925,6247.9,4.255319149
